sample_id,sp_code,genus,species,date_sampled,time_sampled,region,site,colony_depth_m,colony_depth_ft,water_temp_c,lat,lon,gps,waypoint,collected_by,photo,colony_tag,colony_diameter_cm,colony_note1,colony_note2,sample_note1,sample_note2,tube_label,sample_location
AB0001,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,2.6,8.530183727,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,405,NA,NA,NA,NA,NA,SC016,Shedd
AB0002,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,2.7,8.858267717,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,435,NA,NA,NA,NA,NA,SC005,Shedd
AB0003,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,3.9,12.79527559,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,401,NA,NA,NA,NA,NA,SC011,Shedd
AB0004,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,3.8,12.4671916,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,440,NA,NA,NA,NA,NA,SC029,Shedd
AB0005,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,3.8,12.4671916,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,434,NA,NA,NA,NA,NA,SC002,Shedd
AB0006,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,3.8,12.4671916,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,420,NA,NA,NA,NA,NA,SC014,Shedd
AB0007,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4.2,13.77952756,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,419,NA,NA,NA,NA,NA,SC013,Shedd
AB0008,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4.6,15.09186352,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,439,NA,NA,NA,NA,NA,SC004,Shedd
AB0009,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4.1,13.45144357,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,404,NA,NA,NA,NA,NA,SC027,Shedd
AB0010,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4.3,14.10761155,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,426,NA,NA,NA,NA,NA,SC026,Shedd
AB0011,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,2.9,9.514435696,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,406,NA,NA,NA,NA,NA,SC015,Shedd
AB0012,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4.2,13.77952756,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,410,NA,NA,NA,NA,NA,SC018,Shedd
AB0013,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,7.6,24.9343832,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,416,NA,NA,NA,NA,NA,SC024,Shedd
AB0014,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,7,22.96587927,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,418,NA,NA,NA,NA,NA,SC019,Shedd
AB0015,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,6.6,21.65354331,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,417,NA,NA,NA,NA,NA,SC010,Shedd
AB0016,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,5.6,18.37270341,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,411,NA,NA,NA,NA,NA,SC001,Shedd
AB0017,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4.1,13.45144357,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,412,NA,NA,NA,NA,NA,SC021,Shedd
AB0018,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4,13.12335958,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,413,NA,NA,NA,NA,NA,SC022,Shedd
AB0019,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4,13.12335958,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,414,NA,NA,NA,NA,NA,SC017,Shedd
AB0020,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,3.5,11.48293963,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,415,NA,NA,NA,NA,NA,SC030,Shedd
AB0021,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4.2,13.77952756,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,431,NA,NA,NA,NA,NA,SC020,Shedd
AB0022,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,5.1,16.73228346,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,432,NA,NA,NA,NA,NA,SC006,Shedd
AB0023,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,5.4,17.71653543,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,433,NA,NA,NA,NA,NA,SC003,Shedd
AB0024,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,7.1,23.29396325,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,421,NA,NA,NA,NA,NA,SC025,Shedd
AB0025,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,6.6,21.65354331,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,422,NA,NA,NA,NA,NA,SC012,Shedd
AB0026,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,6.3,20.66929134,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,423,NA,NA,NA,NA,NA,SC028,Shedd
AB0027,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,4.8,15.7480315,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,424,NA,NA,NA,NA,NA,SC007,Shedd
AB0028,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,5.2,17.06036745,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,425,NA,NA,NA,NA,NA,SC009,Shedd
AB0029,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,6,19.68503937,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,402,NA,NA,NA,NA,NA,SC008,Shedd
AB0030,OFAV,Orbicella,faveolata,1/21/19,NA,AB,sandy_cay,6,19.68503937,NA,26.39886475,-76.98901367,NA,NA,ross and john parkinson,NA,403,NA,NA,NA,NA,NA,SC023,Shedd
AB0031,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.6,8.530183727,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,320,NA,NA,NA,NA,NA,MR021,Shedd
AB0032,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.6,8.530183727,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,316,NA,NA,NA,NA,NA,MR027,Shedd
AB0033,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.2,7.217847769,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,317,NA,NA,NA,NA,NA,MR012,Shedd
