sample_id,sp_code,genus,species,date_sampled,time_sampled,region,site,colony_depth_m,colony_depth_ft,water_temp_c,lat,lon,gps,waypoint,collected_by,photo,colony_tag,colony_diameter_cm,colony_note1,colony_note2,sample_note1,sample_note2,tube_label,sample_location
AB0034,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.4,7.874015748,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,318,NA,NA,NA,NA,NA,MR006,Shedd
AB0035,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,319,NA,NA,NA,NA,NA,MR005,Shedd
AB0036,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,311,NA,NA,NA,NA,NA,MR039,Shedd
AB0037,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.2,7.217847769,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,312,NA,NA,NA,NA,NA,MR022,Shedd
AB0038,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.9,6.233595801,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,313,NA,NA,NA,NA,NA,MR031,Shedd
AB0039,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.8,5.905511811,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,314,NA,NA,NA,NA,NA,MR016,Shedd
AB0040,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.8,5.905511811,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,315,NA,NA,NA,NA,NA,MR007,Shedd
AB0041,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,331,NA,NA,NA,NA,NA,MR029,Shedd
AB0042,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,332,NA,NA,NA,NA,NA,MR026,Shedd
AB0043,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,333,NA,NA,NA,NA,NA,MR024,Shedd
AB0044,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2,6.56167979,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,334,NA,NA,NA,NA,NA,MR030,Shedd
AB0045,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,335,NA,NA,NA,NA,NA,MR008,Shedd
AB0046,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,340,NA,NA,NA,NA,NA,MR017,Shedd
AB0047,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2,6.56167979,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,336,NA,NA,NA,NA,NA,MR038,Shedd
AB0048,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.9,6.233595801,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,337,NA,NA,NA,NA,NA,MR002,Shedd
AB0049,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.2,7.217847769,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,338,NA,NA,NA,NA,NA,MR025,Shedd
AB0050,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2,6.56167979,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,339,NA,NA,NA,NA,NA,MR032,Shedd
AB0051,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.2,7.217847769,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,301,NA,NA,NA,NA,NA,MR004,Shedd
AB0052,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.2,7.217847769,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,305,NA,NA,NA,NA,NA,MR001,Shedd
AB0053,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,304,NA,NA,NA,NA,NA,MR040,Shedd
AB0054,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,302,NA,NA,NA,NA,NA,MR015,Shedd
AB0055,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.1,6.88976378,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,303,NA,NA,NA,NA,NA,MR011,Shedd
AB0056,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.1,6.88976378,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,330,NA,NA,NA,NA,NA,MR023,Shedd
AB0057,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.5,4.921259843,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,326,NA,NA,NA,NA,NA,MR020,Shedd
AB0058,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.7,5.577427822,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,327,NA,NA,NA,NA,NA,MR010,Shedd
AB0059,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.4,4.593175853,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,328,NA,NA,NA,NA,NA,MR035,Shedd
AB0060,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.8,5.905511811,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,329,NA,NA,NA,NA,NA,MR013,Shedd
AB0061,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.9,6.233595801,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,306,NA,NA,NA,NA,NA,MR034,Shedd
AB0062,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.4,4.593175853,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,307,NA,NA,NA,NA,NA,MR028,Shedd
AB0063,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.9,6.233595801,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,310,NA,NA,NA,NA,NA,MR014,Shedd
AB0064,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.1,6.88976378,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,309,NA,NA,NA,NA,NA,MR003,Shedd
AB0065,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.5,4.921259843,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,308,NA,NA,NA,NA,NA,MR033,Shedd
AB0066,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.2,3.937007874,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,300,NA,NA,NA,NA,NA,MR036,Shedd
AB0067,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2,6.56167979,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,321,NA,NA,NA,NA,NA,MR037,Shedd
AB0068,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.9,6.233595801,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,322,NA,NA,NA,NA,NA,MR018,Shedd
AB0069,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,1.2,3.937007874,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,323,NA,NA,NA,NA,NA,MR019,Shedd
AB0070,OFAV,Orbicella,faveolata,1/24/19,NA,AB,mermaid_reef,2.3,7.545931759,NA,26.55366707,-77.05274963,NA,NA,ross and john parkinson,NA,324,NA,NA,NA,NA,NA,MR009,Shedd
BI0001,DLAB,Diploria,labyrinthiformis,10/5/19,NA,BI,Bimini Nursery,11.5824,38,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0002,PSTR,Pseudodiploria,strigosa,10/5/19,NA,BI,Bimini Nursery,11.5824,38,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0003,SSID,Siderastrea,siderea,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0004,MCAV,Montastraea,cavernosa,10/5/19,NA,BI,Bimini Nursery,13.1064,43,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0005,DLAB,Diploria,labyrinthiformis,10/5/19,NA,BI,Bimini Nursery,13.4112,44,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0006,PPOR,Porites,porites,10/5/19,NA,BI,Bimini Nursery,13.4112,44,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0007,MCAV,Montastraea,cavernosa,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0008,SSID,Siderastrea,siderea,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0009,MMEA,Meandrina,meandrites,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0010,MDAN,Mycetophyllia,danaana,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0011,PSTR,Pseudodiploria,strigosa,10/5/19,NA,BI,Bimini Nursery,12.192,40,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0012,PPOR,Porites,porites,10/5/19,NA,BI,Bimini Nursery,12.192,40,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0013,SINT,Stephanocoenia,intersepta,10/5/19,NA,BI,Bimini Nursery,13.1064,43,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0014,OFRA,Orbicella,franksi,10/5/19,NA,BI,Bimini Nursery,13.1064,43,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0015,ATEN,Agaricia,tenuifolia,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0016,MDAN,Mycetophyllia,danaana,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0017,EFAS,Eusmilia,fastigiata,10/5/19,NA,BI,Bimini Nursery,13.1064,43,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0018,DSTO,Dichocoenia,stokesi,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0019,SBOU,Solenastrea,bournoni,10/5/19,NA,BI,Bimini Nursery,13.1064,43,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0020,MMEA,Meandrina,meandrites,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,OW,Williamson,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0021,MJAC,Meandrina,jacksoni,10/5/19,NA,BI,Bimini Nursery,13.1064,43,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0022,MCAV,Montastraea,cavernosa,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0023,DLAB,Diploria,labyrinthiformis,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0024,SSID,Siderastrea,siderea,10/5/19,NA,BI,Bimini Nursery,13.1064,43,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0025,MCAV,Montastraea,cavernosa,10/5/19,NA,BI,Bimini Nursery,13.4112,44,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0026,MCAV,Montastraea,cavernosa,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0027,AAGA,Agaricia,agaricites,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0028,PAST,Porites,astreoides,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0029,PPOR,Porites,porites,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0030,EFAS,Eusmilia,fastigiata,10/5/19,NA,BI,Bimini Nursery,13.1064,43,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0031,DLAB,Diploria,labyrinthiformis,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0032,PAST,Porites,astreoides,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0033,MMEA,Meandrina,meandrites,10/5/19,NA,BI,Bimini Nursery,12.192,40,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0034,MYCE,Mycetophyllia,sp,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0035,SSID,Siderastrea,siderea,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0036,MCAV,Montastraea,cavernosa,10/17/19,NA,BI,Bullard's Barge,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,KJS/BW,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0037,PPOR,Porites,porites,10/17/19,NA,BI,Bullard's Barge,13.4112,44,NA,25.74283981,-79.30198669,NA,NA,KJS/BW,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0038,SSID,Siderastrea,siderea,10/17/19,NA,BI,Bullard's Barge,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,KJS/BW,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0039,MYCE,Mycetophyllia,sp,10/17/19,NA,BI,Bullard's Barge,13.1064,43,NA,25.74283981,-79.30198669,NA,NA,KJS/BW,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0040,MYCE,Mycetophyllia,sp,10/5/19,NA,BI,Bimini Nursery,12.192,40,NA,25.74283981,-79.30198669,NA,NA,AB,Baker,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0041,OFAV,Orbicella,faveolata,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0042,DLAB,Diploria,labyrinthiformis,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0043,MCAV,Montastraea,cavernosa,10/5/19,NA,BI,Bimini Nursery,10.9728,36,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0044,OFAV,Orbicella,faveolata,10/5/19,NA,BI,Bimini Nursery,10.9728,36,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0045,DLAB,Diploria,labyrinthiformis,10/5/19,NA,BI,Bimini Nursery,10.9728,36,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0046,MCAV,Montastraea,cavernosa,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0047,SSID,Siderastrea,siderea,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0048,PAST,Porites,astreoides,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0049,MMEA,Meandrina,meandrites,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0050,MMEA,Meandrina,meandrites,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0051,OFRA,Orbicella,franksi,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0052,MMEA,Meandrina,meandrites,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0053,AAGA,Agaricia,agaricites,10/5/19,NA,BI,Bimini Nursery,12.8016,42,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0054,PAST,Porites,astreoides,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0055,DLAB,Diploria,labyrinthiformis,10/5/19,NA,BI,Bimini Nursery,12.4968,41,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
BI0056,SSID,Siderastrea,siderea,10/5/19,NA,BI,Bimini Nursery,12.192,40,NA,25.74283981,-79.30198669,NA,NA,RK/Brendan,Cunning,NA,NA,NA,NA,NA,NA,NA,Nassau
